Verzeichnis der Literaturverweise
Fn-Nr. 1, S. 51: Ficinus1
Fn-Nr. 116, S. 391: Clemens2
Fn-Nr. 117, S. 391: Tertullian3
Fn-Nr. 118, S. 391: Tertullian2a
Fn-Nr. 119, S. 391: Tertullian2a
Fn-Nr. 120, S. 391: Justinus5
Fn-Nr. 121, S. 392: Justinus1
Fn-Nr. 122, S. 393: Ignatius3
Fn-Nr. 123, S. 393: ClemensvonRom1
Fn-Nr. 124, S. 397: Collins1
Fn-Nr. 125, S. 398: CodexAlexandrinus1
Fn-Nr. 126, S. 399: CodexAlexandrinus1
Fn-Nr. 127, S. 399: Wettstein1
Fn-Nr. 128, S. 409: Seneca4a
Fn-Nr. 129, S. 409: Rousseau1
Fn-Nr. 130, S. 410: Rousseau2
Fn-Nr. 131, S. 410: Wieland2
Fn-Nr. 132, S. 411: Wizenmann1
Fn-Nr. 133, S. 419: Lardner1b
Fn-Nr. 134, S. 420: Josephus1
Fn-Nr. 135, S. 420: Origenes1
Fn-Nr. 136, S. 421: Josephus1
Fn-Nr. 137, S. 421: Josephus4
Fn-Nr. 138, S. 421: Josephus1
Fn-Nr. 139, S. 421: Josephus1
Fn-Nr. 140, S. 421: Josephus4
Fn-Nr. 141, S. 422: Josephus1
Fn-Nr. 142, S. 422: Tacitus2
Fn-Nr. 143, S. 422: Josephus1
Fn-Nr. 144, S. 422: Tacitus1
Fn-Nr. 145, S. 433: Tacitus1
Fn-Nr. 146, S. 434: Plinius1
Fn-Nr. 147, S. 436: Anonym1
Fn-Nr. 148, S. 437: Philon1
Fn-Nr. 149, S. 437: Philon2
Fn-Nr. 150, S. 437: Josephus4
Fn-Nr. 151, S. 437: Josephus3
Fn-Nr. 152, S. 437: Josephus2
Fn-Nr. 153, S. 437: Josephus6
Fn-Nr. 154, S. 437: Josephus1
Fn-Nr. 155, S. 438: Josephus1
Fn-Nr. 156, S. 439: Lukianos6
Fn-Nr. 157, S. 439: Lukianos1
Fn-Nr. 158, S. 439: Lukianos2
Fn-Nr. 159, S. 439: Lukianos4
Fn-Nr. 160, S. 439: Lukianos3
Fn-Nr. 161, S. 439: Lukianos5
Fn-Nr. 162, S. 439: Origenes1
Fn-Nr. 163, S. 440: Herokles
Fn-Nr. 164, S. 446: Josephus4
Fn-Nr. 165, S. 473: Bahrdt1
Fn-Nr. 166, S. 473: Wieland2
Fn-Nr. 167, S. 481: Tacitus2
Fn-Nr. 168, S. 494: Aristoteles
Fn-Nr. 169, S. 494: Gellius
Fn-Nr. 170, S. 494: Varro1
Fn-Nr. 171, S. 502: Cicero5
Fn-Nr. 172, S. 502: SibyllinischeBuecher
Fn-Nr. 173, S. 503: SibyllinischeSprueche
Fn-Nr. 174, S. 503: 
Fn-Nr. 175, S. 504: DeutschesMuseum1
Fn-Nr. 176, S. 506: Wieland2
Fn-Nr. 177, S. 506: Tacitus2
Fn-Nr. 178, S. 507: Aelius
Fn-Nr. 179, S. 520: Kluepfel1
Fn-Nr. 180, S. 520: Blau1
Fn-Nr. 181, S. 520: Juenin1
Fn-Nr. 182, S. 520: Kluepfel1
Fn-Nr. 183, S. 520: Sailer1b
Fn-Nr. 184, S. 520: Schwarz1
Fn-Nr. 185, S. 520: Fleury1
Fn-Nr. 186, S. 520: Mayr1
Fn-Nr. 187, S. 520: Antonius1
Fn-Nr. 188, S. 520: Kluepfel1
Fn-Nr. 189, S. 520: Schwarz1
Fn-Nr. 190, S. 521: Kluepfel1
Fn-Nr. 191, S. 521: Mayr1
Fn-Nr. 192, S. 521: Vincentius1
Fn-Nr. 193, S. 523: Koeppen2
Fn-Nr. 194, S. 523: Cano1a
Fn-Nr. 195, S. 530: Irenaeus1
Fn-Nr. 196, S. 530: Clemens1
Fn-Nr. 197, S. 530: Tertullian2a
Fn-Nr. 198, S. 531: Tertullian2a
Fn-Nr. 199, S. 531: Tertullian2b
Fn-Nr. 200, S. 531: Origenes2a
Fn-Nr. 201, S. 531: Cyprianus1
Fn-Nr. 202, S. 532: Augustinus4a
Fn-Nr. 203, S. 532: Augustinus4b
Fn-Nr. 204, S. 532: Augustinus4c
Fn-Nr. 205, S. 532: Cyprianus2
Fn-Nr. 206, S. 534: CanonesApostolorum
Fn-Nr. 207, S. 534: DecretalesIsidori1
Fn-Nr. 208, S. 535: SymbolumAthanasianum
Fn-Nr. 209, S. 535: CanonesApostolorum
Fn-Nr. 210, S. 535: DecretalesIsidori1
Fn-Nr. 211, S. 564: Wieland3
Fn-Nr. 212, S. 564: Werenfels1
Fn-Nr. 213, S. 569: Tieftrunk1
Fn-Nr. 214, S. 569: Tieftrunk1
Fn-Nr. 215, S. 570: Reinhold1
Fn-Nr. 216, S. 570: Wieland3
Fn-Nr. 217, S. 571: Koeppen2
Fn-Nr. 218, S. 580: SymbolumAthanasianum
Fn-Nr. 219, S. 589: Lambert1
Fn-Nr. 220, S. 620: Haller1
Fn-Nr. 221, S. 621: Seneca4
Fn-Nr. 222, S. 636: CodexAlexandrinus1
Fn-Nr. 223, S. 642: ClemensvonRom1
Fn-Nr. 224, S. 642: Justinus3
Fn-Nr. 225, S. 642: Athenagoras1
Fn-Nr. 226, S. 643: Irenaeus1
Fn-Nr. 227, S. 643: Clemens2
Fn-Nr. 228, S. 643: Tertullian3
Fn-Nr. 229, S. 643: Cyprianus2
Fn-Nr. 230, S. 644: Lukian1
Fn-Nr. 231, S. 647: SymbolumAthanasianum
Fn-Nr. 232, S. 647: Breviarium
Fn-Nr. 233, S. 663: GregorvonNazianz1
Fn-Nr. 234, S. 663: Augustinus5
Fn-Nr. 235, S. 663: Melanchthon1
Fn-Nr. 236, S. 663: Melanchthon2
Fn-Nr. 237, S. 663: Nonnotte1
Fn-Nr. 238, S. 663: Mayr1
Fn-Nr. 239, S. 663: Sailer3
Fn-Nr. 240, S. 663: Frint1
Fn-Nr. 241, S. 663: Maczek1
Fn-Nr. 242, S. 663: Pfronger1
Fn-Nr. 243, S. 664: Schlegel1
Fn-Nr. 244, S. 664: Mark1
Fn-Nr. 245, S. 664: Kant4
Fn-Nr. 246, S. 664: Tieftrunk1
Fn-Nr. 247, S. 664: Peutinger1
Fn-Nr. 248, S. 664: Koeppen2
Fn-Nr. 249, S. 714: Lessing1d
Fn-Nr. 250, S. 720: Dholbach1
Fn-Nr. 251, S. 720: LaMettrie1
Fn-Nr. 252, S. 720: Dholbach1
Fn-Nr. 253, S. 720: Hommel1
Fn-Nr. 254, S. 724: Wieland1
Fn-Nr. 255, S. 727: Vater1
Fn-Nr. 256, S. 730: Hesiod
Fn-Nr. 257, S. 737: Tridentinum1
Fn-Nr. 258, S. 742: Bailly1
Fn-Nr. 259, S. 747: Tridentinum1
Fn-Nr. 260, S. 748: Justinus5
Fn-Nr. 261, S. 748: Irenaeus1
Fn-Nr. 262, S. 748: Origenes1
Fn-Nr. 263, S. 748: Platon10
Fn-Nr. 264, S. 755: Link1
Fn-Nr. 265, S. 784: Tridentinum1
Fn-Nr. 266, S. 785: Cicero1a
Fn-Nr. 267, S. 791: RoemischesBrevier
Fn-Nr. 268, S. 792: Tertullian2b
Fn-Nr. 269, S. 792: Origenes4
Fn-Nr. 270, S. 792: Cyprianus2
Fn-Nr. 271, S. 807: Walther1
Fn-Nr. 272, S. 810: ThomasAquinas1
Fn-Nr. 273, S. 811: Cicero3a
Fn-Nr. 274, S. 824: Tertullian4
Fn-Nr. 275, S. 824: Clemens2
Fn-Nr. 276, S. 824: Augustinus7
Fn-Nr. 277, S. 826: Augustinus1
Fn-Nr. 278, S. 826: Petavius1
Fn-Nr. 279, S. 829: SymbolumAthanasianum
Fn-Nr. 280, S. 829: Justinus1
Fn-Nr. 281, S. 829: GregorvonNazianz2
Fn-Nr. 282, S. 829: GregorvonNyssa1
Fn-Nr. 283, S. 829: Augustinus6
Fn-Nr. 284, S. 829: Augustinus1
Fn-Nr. 285, S. 830: Salvianus1
Fn-Nr. 286, S. 830: JohannesChrysostomos2
Fn-Nr. 287, S. 830: JohannesChrysostomos1
Fn-Nr. 288, S. 830: Orosius1
Fn-Nr. 289, S. 830: ThomasAquinas2
Fn-Nr. 290, S. 839: Kant4
Fn-Nr. 291, S. 854: ThomasAquinas3
Fn-Nr. 292, S. 857: Stattler2
Fn-Nr. 293, S. 864: Gellert1
Fn-Nr. 294, S. 896: Tzschirner1
Fn-Nr. 295, S. 899: Kaiser1a
Fn-Nr. 296, S. 901: Horst1
Fn-Nr. 297, S. 903: LeoI1
Fn-Nr. 298, S. 913: Tridentinum1
Fn-Nr. 299, S. 926: Irenaeus1
Fn-Nr. 300, S. 926: Ignatius2
Fn-Nr. 301, S. 926: Irenaeus1
Fn-Nr. 302, S. 927: Plinius1a
Fn-Nr. 303, S. 927: DH
Fn-Nr. 304, S. 937: Hermas1
Fn-Nr. 305, S. 937: Tertullian5
Fn-Nr. 306, S. 937: Origenes4
Fn-Nr. 307, S. 937: Cyprianus3
Fn-Nr. 308, S. 945: DH
Fn-Nr. 309, S. 945: Tertullian4a
Fn-Nr. 310, S. 959: Cicero3b
Fn-Nr. 311, S. 959: Mendelssohn1
