Sigle;Kurztitel;Kurzautor;Jahr;Autor;Titel;Titelzusatz;Publikationsinfos;Bemerkungen
Blau1;;Blau;1791;Blau, Felix Anton;Kritische Geschichte der kirchlichen Unfehlbarkeit zur Beförderung einer freiern Prüfung des Katholizismus.;;Frankfurt a. M. 1791;
Bolzano1;;Bolzano;1836;Bolzano, Bernhard;Lebensbeschreibung des Dr. B. Bolzano ;mit einigen seiner ungedruckten Aufsätze und dem Bildnisse des Verfassers eingeleitet und erläutert von dem Herausgeber.;Sulzbach 1836;
Bolzano2;;Bolzano;1810;Bolzano, Bernhard;Beyträge zu einer begründeteren Darstellung der Mathematik. ;Erste Lieferung.;Prag 1810;
Bolzano3;;Bolzano;1817;Bolzano, Bernhard;Die drey Probleme der Rectfication, der Complanation und der Cubirung, ohne Betrachtung des unendlich Kleinen, ohne die Annahme des Archimedes, und ohne irgend eine nicht streng erweisliche Voraussetzung gelöst;: zugleich als Probe einer gänzlichen Umstaltung der Raumwissenschaft allen Mathematikern zur Prüfung vorgelegt.;Leipzig 1817;
Bolzano4;;Bolzano;1834;Bolzano, Bernhard;Lehrbuch der Religionswissenschaft, ;ein Abdruck der Vorlesungshefte eines ehemaligen Religionslehrers an einer katholischen Universität, von einigen seiner Schüler gesammelt und herausgegeben;1.--3. Teil, Sulzbach 1834;
Bolzano5;;Bolzano;1994--2005;Bolzano, Bernhard;Lehrbuch der Religionswissenschaft, Berhard Bolzano-Gesamtausgabe I, Band 6-8, hrsg. Jaromír Lou\v{z}il.;;Stuttgart-Bad Cannstatt 1994--2005;
Bonnet1;;Bonnet;1769;Bonnet, Charles De;La palingénésie philosophique, ou Idées sur l'état passé et sur l'état futur des êtres vivants. Ouvrage destiné à servire de supplément aux derniers écrits de l'auteur, et qui contient principalement le précis de ses recherches sur le christianisme, 2 vol.;;Genve 1769;
Bonnet1a;;Bonnet;1769--1770;Bonnet, Charles De;Philosophische Palingenesie oder Gedanken über den vergangenen und künftigen Zustand lebender Wesen. Als ein Anhang zu den letztern Schriften des Verf., aus dem Französischen von Johann Caspar Lavater, 2 Bände.;;Zürich 1769-1770;
Bonnet2;;Bonnet;1771;Bonnet, Charles De;Recherches philosophiques sur les preuves du christiamsme.;;Genve 1771;
Bonnet2a;;Bonnet;1773;Bonnet, Charles De;Philosophische Untersuchung der Beweise für das Christenthum samt desselben Ideen von der künftigen Glückseligkeit des Menschen, aus dem Französischen übersetzt und mit Anmerkungen herausgegeben von Johann Caspar Lavater, nebst dessen Rede bey der Taufe zweyer Israeliten.;;Güstrow 1773;P
Bretschneider1;;Bretschneider;1822;Bretschneider, Karl Gottlieb;Handbuch der Dogmatik der evangelisch-lutherischen Kirche, 2. Aufl.;;Leipzig 1822;
Breviarium;Breviarium;;1764;Breviarium;Breviarium romanum ex decreto Sacrosancti Concilii Tridentini restitutum.;;Venetiis 1764;
Buddeus1;;Buddeus;1724;Buddeus, Johann Franz;Institutiones theologiae dogmaticae.;;Lipsiae 1724;
Caesar1;;Caesar;1780;Caesar, Gaius Julius;Commentarii de bello gallico et civili accedunt libri de bello Alexandrino, Africano et Hispaniensi : e recensione Francisci Oudendorpii.;2 vol.;Lipsiae 1780;
Calixtus1;;Calixtus;1658;Calixtus, Georgius;De Praecipuis Christianae Religionis Capitibus : Disputationes XV., Anno MDCXI in Illustri Iulia habitae.;;Helmstedt 1658;
Cano1;;Cano;1602;Cano [CANUS], Francisco Melchor;Epitome locorum theologicorum, in Qua Refellendi Haereticos, ac confirmandi sacra dogmata ratio, succinctè traditur, \& omnia penè, quae hodie in controversiam vocantur, luculentißimè ex aminantur.;;Coloniae 1602;
Cano1a;;Cano;1754;Cano [Canus], Francisco Melchor;Locorum theologicorum libri XII., in: Opera, 2 tom.;;Wien 1754;P
CanonesApostolorum;Canones Apostolorum;Katholische Kirche;;Katholische Kirche;Canones Apostolorum;Err:509;;
Cicero1;De natura Deorum;Cicero;;Cicero, Marcus Tullius;De natura Deorum.;;;
Cicero1a;De natura Deorum;Cicero;1818;Cicero, Marcus Tullius;Libri tres De natura Deorum ex recensione Joannis Augusti Ernesti et com omnium eruditorum notis, quas Joannis Davisii editio ultima habet, Ed. Fridericus Creuzer.;;Lipsiae 1818;
Cicero2;De officiis;Cicero;;Cicero, Marcus Tullius;De officis.;;;
Cicero3;De finibus;Cicero;1826-1828;Cicero, Marcus Tullius;De finibus, in: M. Tullii Ciceronis Opera quae supersunt omnia ac deperditorum fragmenta, recognovit et singulis libris ad optimam quamque recensionem castigatis cum varietate Lambiniana MDLXVI. Edidit Io. Casp. Orellius, 8 Bände.;; Turici 1826--1828;P
Cicero3a;De paradoxis;Cicero;1826-1828;Cicero, Marcus Tullius;De paradoxis, in: M. Tullii Ciceronis Opera quae supersunt omnia ac deperditorum fragmenta, recognovit et singulis libris ad optimam quamque recensionem castigatis cum varietate Lambiniana MDLXVI. Edidit Io. Casp. Orellius, 8 Bände.;;Turici 1826--1828;P
Cicero3b;De divinatione;Cicero;1826-1828;Cicero, Marcus Tullius;De divinatione 1, 2, In:  M. Tullii Ciceronis Opera quae supersunt omnia ac deperditorum fragmenta, recognovit et singulis libris ad optimam quamque recensionem castigatis cum varietate Lambiniana MDLXVI. Edidit Io. Casp. Orellius, 8 Bände.;;Turici 1826--1828;P
Cicero4;;Cicero;;Cicero, Marcus Tullius;Akademici libri.;;;
Cicero5;;Cicero;1826-1828;Cicero, Marcus Tullius;De divinatione, in: M. Tullii Ciceronis Opera quae supersunt omnia ac deperditorum fragmenta, recognovit et singulis libris ad optimam quamque recensionem castigatis cum varietate Lambiniana MDLXVI. Edidit Io. Casp. Orellius, 8 Bände.;;Turici 1826-1828;P
Cicero6;;Cicero;1826;Cicero, Marcus Tullius;M. Tullii Ciceronis de re publica libri ab Angelo Maio nuper reperti et editi cum eiusdem praefatione et commentariis, Editit Georgius Henricus Moser.;;Francofurti ad Moenum 1826;
Cicero7;;Cicero;1832;Cicero, Marcus Tullius;Cato maior seu De senectute ex recensione Gernhardi, Hg. Johann Bapt. Hutter.;;Monachii 1832;
Cicero8;;Cicero;1826-1828;Cicero, Marcus Tullius;Tusculanae disputationes, in: M. Tullii Ciceronis Opera quae supersunt omnia ac deperditorum fragmenta, recognovit et singulis libris ad optimam quamque recensionem castigatis cum varietate Lambiniana MDLXVI. Edidit Io. Casp. Orellius, 8 Bände.;; Turici 1826--1828;P
Clemens1;;Clemens von Alexandrien;1757;Clemens von Alexandrien;Clementis Alexandrini Opera quae extant / recognita \& illustrata per Joannem Potterum, Episcopum Oxoniensem, Tomus II.;;Venetiis 1757;
Clemens2;Stromateis;Clemens von Alexandrien;1715;Clemens von Alexandrien;Stromateis.; Hg. J. Potter, 2 Bände.;Oxford 1715;Ausgabe nicht gefunden
ClemensvonRom1;;Clemens von Rom;1672;Clemens Von Rom;Brief an die Korinther (griech. Ausgabe), in: Patres apostolici, hrsg. Von J. B. Cotelier.;;Paris 1672;
CodexAlexandrinus1;;;;Codex Alexandrinus;Codex Alexandrinus, hrsg. Von Woide .;;;
Collins1;;;1713;Collins Anthony;A Discourse of Free-thinking, occasion'd by the rise and growth of a sect call'd free-thinkers.;;London 1713;
Craig1;;Craig;1755;Craig, John;Joannis Craigii Theologiae christianae principia mathematica edidit atque da scriptis autoris nonnulla, praefatus est Jo. Daniel Titius.;;Lipsiae 1755;P
Craig2;;Craig;1699;Craig, John;Theologiae christianae principia mathematica.;;London 1699;
Curtius1;;Curtius Rufus;1750;Curtius Rufus, Quintus;Da rebus Alexandri Magni, recte tandem captui juventutis accommodatus, Oder deutliche und nach dem Begriff der Jugend eingerichtete Erklärung des Autors (etc.), 6. Aufl.;;Augsburg 1750;
Curtius1a;;Curtius Rufus;1841;Curtius Rufus, Quintus;Q. Curtii Rufi, De gestis Alexandri Magni regis Macedoniae libri qui supersunt octo, Hg. Julius Mützell.;;Berlin 1841;
Cyprianus1;De unitate ecclesiae;Cyprian;1728;Cyprianus, Thascius Cäcilius;Sancti Caecilii Cypriani Episcopi Carthaginensis et martyris Opera, Ad MSS. codices recognita \& illustrata studio ac labore Stephani Baluzii Tutelensis.;;Venetiis 1728;
Cyprianus1a;Epistula;Cyprian;;;;;;
Cyprianus2;;Cyprian;1726;Cyprianus, Thascius Cäcilius;Epistolae, in: Opera, Ed. E. Baluze et P. Maran.;;Paris 1726;
Cyprianus3;De lapsis;Cyprian;1918;Cyprianus, Thascius Cäcilius;De lapsis (Deutsche Übersetzung von J. Baer) in: Bibliothek der Kirchenväter, eine Auswahl patristischer Werke in deutscher Uebersetzung, Band: Des heiligen Kirchenvaters Caecilius Cyprianus sämtliche Schriften (S. 83--124);;Kempten, Kösel 1918;P
Darjes1;De possibilitate;Darjes;1735;Darjes, Joachim Georg;Dissertatio metaphysica, De possibilitate creationis mundi ab aeterno, Methodo mathematicorum, conscriptam.;;Jena 1735;
DecretalesIsidori1;;;9. Jh.;;Decretales Isidori Peccatoris;;;
Descartes1;;Descartes;1902;Descartes, René;Discours de la Méthode et Essais, in: Oeuvres de Descartes, Publiées par Charles Adam et Paul Tannery, Tome VI.;;Paris 1902;
DeutschesMuseum1;;;1777;Deutsches Museum;Deutsches Museum auf das Jahr 1777, hrsg. Von Christian Heinrich Boie.;;Leipzig 1777;
Dholbach1;;;1770;D'holbach, Paul Henri Thiry;Systême de la nature. Ou des loix du monde physique \& du monde moral, par Jean-Baptiste de Mirabaud.;;London [i.e. Amsterdam] 1770;
Doederlein1;;;1802;Döderlein, Johann Christoph;Christlicher Religionsunterricht nach den Bedürfnissen unserer Zeit, nach dem lateinischen des seeligen Verfassers ausgearbeitet von Christian Gottfried Junge.;;Nürnberg 1802;P
DH;Kompendium;Denzinger-Hünermann;2009;Denzinger, Heinrich / Hünermann, Peter;Kompendium der Glaubensbekenntnisse und kirchlichen Lehrentscheidungen ;lat.-dt.;Freiburg: Herder 2009;
Eichhorn1;;Eichhorn;1824;Eichhorn, Johann Gottfried;Historisch-kritische Einleitung in das Neue Testament, 4. Aufl., 5 Bde.;;;
Eichhorn2;;Eichhorn;1820;Eichhorn, Johann Gottfried;Einleitung in das Neue Testament, 2. Aufl.;;Leipzig 1820;
Empedokles1;;Empedokles;1972;Empedokles;Fragmente 57 ff. In: H. Diels: Die Fragmente der Vorsokratiker, griechisch und deutsch, Hrsg. Von W. Kranz, unveränderter Nachdruck der 6. Aufl.;;Berlin 1972;Reihe unproblematisch, aber Fragmente 57 schwer zu überprüfen
Engel1;;Engel;1810;Engel, Jakob Johannes;Der Philosoph für die Welt.;;Berlin 1810;
Ewald1;;Ewald;1816-1817;Ewald, Johann Ludwig;Zeitschrift zur Nahrung christlichen Sinnes, 2 Bde.;;Stuttgart 1816--1817;nicht gefunden
Fichte1;;Fichte;1793;Fichte, Johann Gottlieb;Versuch einer Kritik aller Offenbarung. 2. Ausg.;;Königsberg 1793;P
Ficinus1;De veritate religionis Christianae;Marsilius Ficinus;1559;Ficinus, Marsilius;Summi et philosophi \& theologi, de religione christiana opus plane divinum et huic nostro seculo pernecessarium.;;Paris 1559;
Flatt1;;Klatt;1796-1812;Flatt, Karl Christian Von;Magazin für christliche Dogmatik und Moral, ab Nr. 10 fortgesetzt von F. G. Süßkind.;;Tübingen 1796--1812;
Fleury1;;Fleury;1709;Fleury, Claude;Catechisme historique, contenant en abrégé l'histoire sainte et la doctrine chrétienne, 2 vol.;;Paris 1709;
Foster1;;Foster;1741;Foster, Jacob;Vertheidigung der Nutzbarkeit, Wahrheit und Vortrefflichkeit der christlichen Offenbarung gegen die Einwürfe, weiche letzhin in einem Buche mit der Aufschrift, Beweis, daß das Christenthum so alt als die Welt sey, u.s.w. dagegen sind gemacht worden.;;Frankfurt 1741;
Frint1;;Frint;1806-1813;Frint Jacob;Handbuch der Religionswissenschaft für die Candidaten der Philosophie.;; Wien 1806--1813;
Frint1a;;Frint;1820;Frint Jacob;Handbuch der Religionswissenschaft für die Candidaten der Philosophie, 3. Auflage.;;Wien 1820;
Fritsch1;;Fritsch;;Fritsch;Einleitung in die christliche Sittenlehre.;;;Name unvollständig
Gazzaniga1;;Gazzinga;1778-1779;Gazzinga Petrus Maria;Theologia polemica ad usum auditorum, 2 tom.;;Wien 1778--1779;
Gazzaniga2;;Gazzinga;1770;Gazzinga Petrus Maria;Praelectiones theologicae in usum suorum auditorum.;;Venetiis 1770;
Gellert1;;Geller;1775;Gellert, Christian Fürchtegott;Sämmtliche Schriften, Erster Theil: Fabeln und Erzählungen.;;Berlin 1775;P
Gellius;;Gellius;;Gellius Aulus;Noctes Atticae.;;;
Goethe1;;Goethe;1816;Goethe, Johann Wolfgang;Egmont (1787), in: Goethe's Werke, Band 6.;;Wien, Stuttgart 1816;P
GregorvonNazianz1;Orationes;Gregor von Nazianz;;Gregor von Nazianz;Orationes, unbekannte Ausgabe, später enthalten in: Patrologiae cursus completus, series latina, hrsg. von J. P. Migne, vol. 35--36.;;Paris, ohne Jahresangabe;
GregorvonNazianz2;Sermones in sacrum lavacrum;Gregor von Nazianz;1996;Gregor von Nazianz;Sermones in sacrum lavacrum, in: Orationes theologicae: griechisch, deutsch = Theologische Reden, hrsg. H. J. Sieben.;;Freiburg 1996;Reihe stimmt, aber Titel schwer zu überprüfen
GregorvonNyssa1;Oratio de infantibus;Gregor von Nyssa;1617;Gregor von Nyssa;Oratio de infantibus, in: Gregorii Episcopi Nysseni, Fratris Basilii Magni, Opera Qvae Extant Omnia, hrsg. Fronton Du Duc.;;Colonia Agrippina 1617;
Grotius1;De veritate religionis Christianae;Grotius;1674;Grotius, Hugo;De veritate religionis Christianae, editio novissima, in qua ejusdem annotationes suis quaque paragraphis ad faciliorem usum subjectae sunt.;;Amstelodami 1674;
Haller1;Gedichte;Haller;1923;Haller, Albrecht Von;Gedichte, kritisch durchges. Ausgabe, nebst einer Abhandlung Haller als Dichter, hrsg. von Harry Maync.;;Leipzig 1923;
Hermas1;Hirte des Hermas;Hermas;1918;Hermas;Pastor. Der Hirte des Hermas, aus dem Griechischen Übersetzt von F. Zeller, in: Bibliothek der Kirchenväter, eine Auswahl patristischer Werke in deutscher Uebersetzung, Band 35: Die Apostolischen Väter (S. 171--290);;Kempten, Kösel 1918;
Hermas1a;Hirte des Hermas;Hermas;1991;Hermas;Pastor. Der Hirt des Hermas, in: Der Hirt des Hermas, übersetzt, erklärt und hrsg. Von N. Brox.;;Göttingen 1991;
Herokles;Freundschaftliche Ermahnungen;Herokles;;Herokles, Sossianus;Freundschaftliche Ermahnungen an die Christen.;;;Name unklar
Hesiod;Theogonia;Hesiod;1913;Hesiod;Theogonia, in: Hesiodi carmina, hrsg. A Rzach.;;Lipisiae 1913;
Hommel1;Über Belohnung und Strafe;Hommel;1770;Hommel, Karl Ferdinand [Pseudonym: Alexander Von Joch];Über Belohnung und Strafe nach Türkischen Gesezen.;;Beyreuth-Leipzig 1770;
Horatius1;De arte poetica;Horaz;1779;Horatius, Flaccus Quintus;De arte poetica, in: Quinti Horatii Flacci Opera.;;Mannheim 1779;P
Horst1;Mysteriosophie;Horst;1817;Horst, Georg Conrad;Mysteriosophie, oder über die Veredlung des protestantischen Gottesdienstes durch die Verbindung eines einfach-erhabenen inneren Acts des Cultus mit der Predigt: nebst dem vollständigen Umriß einer in allen ihren Theilen veredelten protestantischen Kirchenverfassung, 2 Bände.;;Frankfurt am Main 1817;
Houteville1;La réligion chrétienne;Houteville;1740;Houteville, Claude-François;La réligion chrétienne prouvée par les faits, nouv. ed.;;Paris 1740;
Houteville1a;Erwiesene Wahrheit der christlichen Religion;Houteville;1745;Houteville, Claude-François;Erwiesene Wahrheit der christlichen Religion durch die Geschichte;Hg. S. J. Baumgarten;Frankfurt, Leipzig 1745;
Huet1;Demonstratio evengelica;Huet;1782;Huet (Huetius), Pierre Daniel;Demonstratio evangelica, ad serenissimum Delphinum.;;Bassani, Venetiis 1782;P
Hume1;Dialogues concerning natural religion;Hume;1779;Hume, David;Dialogues concerning natural religion.;;London 1779;
Hume1a;Gespräche über natürliche Religion;Hume;1781;Hume, David;Gespräche über natürliche Religion, nach der 2. englischen Ausg. (hrsg. von Ernst Platner) nebst einem Gespräch über den Atheismus von Ernst Platner.;;Leipzig 1781;P
Hume2;Enquiry concerning human understanding;Hume;1748;Hume, David;Enquiry Concerning Human Understanding. Philosohical essays concerning human understanding by the author of the Essays moral and political.;;London 1748;
IgnatiusvonAntiochien1;Briefe;Ignatius von Antiochien;1847;Ignatius von Antiochien;Die drei ächten und die vier unächten Briefe des Ignatius von Antiochien: Hergestellter und vergleichender Text mit Anmerkungen, Hrsg. Von;;Hamburg 1847;
IgnatiusvonAntiochien2;Briefe;Ignatius von Antiochien;1918;Ignatius von Antiochien;Briefe (Epistola ad Smyrn. c. 7), Deutsche Übersetzung von von F. Zeller, in: Bibliothek der Kirchenväter, eine Auswahl patristischer Werke in deutscher Uebersetzung, Band 35: Die Apostolischen Väter (S. 107--156).;;Kempten-München 1918;
Irenaeus1;;Irenäus;1710;Irenäus;Adversus haereses: Tu En Hagiois Patros H?m?n Eir?naiu Episkopu Lugdunu, Kai Martyros, Elenchu Kai Anatrop?s T?s Pseud?nymu Gn?se?s Biblia Pente = Sancti Irenaei Episcopi Lugdunensis Et Martyris, Detectionis Et Eversionis Falso Cognominatae Agnitionis, Seu Contra Haereses Libri Quinque, hrsg. Von R. Massuet.;;Parisiis 1710;
Irenaeus2;;Irenäus;1997;Irenäus;Adversus haereses (griechisch, lateinisch, deutsch): Gegen die Häresien, 4. Band, übers., eingel. und hrsg. Von N. Brox, Serie: Fontes Christiani 8/4 .;;Freiburg im Br. 1997;
Jacobi1;;Jacobi;1789;Jacobi, Friedrich Heinrich;Über die Lehre des Spinoza in Briefen an den Herrn Moses Mendelssohn, neue vermehrte Ausgabe.;;Breslau 1789;
Jamblichus1;;Jamlichus Chalcidensis;1937;Jamlichus Chalcidensis  ;Jamblichi De vita Pythagorica liber, Ed. L. Deubner.;;Lipsiae 1937;
Jamblichus1a;;Jamlichus Chalcidensis;1922;Jamlichus Chalcidensis  ;Über die Geheimlehren, aus dem Griechischen übers., eingel., erkl. und hrsg. von Theodor Hopfner.;;Leipzig 1922;
Jerusalem1;;Jerusalem;1776;Jerusalem, Johann Friedrich Wilhelm;Betrachtungen über die vornehmsten Wahrheiten der Religion.;;Braunschweig 1776;
Jezirah1;;Jezirah;1552, Neudruck: 1995;Jezirah;Abrahami patriarchae liber Jezirah sive Formationis mundi, patribus quidem Abrahami tempora praecedentibus revelatus, sed ab ipso etiam Abrahamo expositus Isaaco, vertebat ex Hebraeis et commentariis illustrabat 1551 ad Babylonis ruinam \& corrupti mundi finem, Cuilelmus Postellus, Restitutus.;;Paris 1552;nicht gefunden
Jezirah1a;;Jezirah;1995;Jezirah;Sefer Jezirah / übersetzt und kommentiert von Guillaume Postel , Neudruck der Ausgabe Paris 1552 herausgegeben, eingeleitet und erläutert von Wolf Peter Klein.;;Stuttgart, Bad Cannstatt 1995;
JohannesChrysostomos1;;Johannes Chrysostomos;;Johannes Chrysostomos;Ad Romanos.;;;
JohannesChrysostomos2;;Johannes Chrysostomos;1718;Johannes Chrysostomos;Commentarius in Mattheum, in: Sancti Patris Nostri Joannis Chrysostomi Archiepiscopi Constantinopolitani Opera Omnia Quae Exstant, hrsg. von Bernard de Montfaucon, 13 Bände.;;Paris 1718;
Josephus1;;Flavius Josephus;1700;Josephus, Flavius  ;Flavii Josephi Antiquitatum Judaicarum libri quatuor priores, et pars magna quinti, gr., lat., Ed. Edvardi Bernardi.;;Oxoniae 1700;
Josephus1a;;Flavius Josephus;;Josephus, Flavius  ;Xxxxx xxxxxxx (Antiquitatum Judaicarum libri quatuor).;;;zu wenig Angaben--gehören alle zu Josephusa1??
Josephus2;De vita sua;Flavius Josephus;;Josephus, Flavius  ;De vita sua liber.;;;
Josephus3;Contra Apionem;Flavius Josephus;;Josephus, Flavius  ;Contra Apionem.;;;
Josephus4;De bello judaico;Flavius Josephus;;Josephus, Flavius  ;De bello Judaico.;;;
Josephus6;De Maccabeis;Flavius Josephus;;Josephus, Flavius  ;De Maccabaeis.;;;
Juenin1;Institutiones theologiae;Juenin;1696;Juenin, Gaspard;Institutiones theologiae ad usum seminariorum.;;Paris 1696;Ausgabe nicht gefunden
Justinus1;;Justin;1755;Justinus;S. Justini Apologiae e recensione Grabiana var. lect. et conjecturas V. V. dd. et suas addidit C. G. Thalemannus.;;Leipzig 1755;
Justinus2;;Justinus;1777;Justinus;Sanctorum patrum opera polemica de veritate religionis Christianae contra gentiles et Judaeos, Opera Patrum graecor. gr. et lat, Ed. F. Oberthür.;;Würzburg 1777--1794;P
